AccountNo;BetDate;ClassId;CategoryId;Source;BetCount;Bet_Amt;Win_Amt;Product;;;;AccountNo;Bet_Amt;Product;;AccountNo;Vegas;Sportsbook;Games;Casino;Poker;Bingo;#NV;Adjustments
01196ZZ   ;24/11/2012;22512_XFER;22512;I;189;29364;28947;Vegas;;;;01196ZZ   ;29364;Vegas;;01196ZZ   ; 89.861 ; 42.758 ; -   ; 1.262 ; -   ; -   ; -   ; -   
00357DG   ;27/11/2012;22512_XFER;22512;I;1415;19835;18639,15;Vegas;;;;00357DG   ;19835;Vegas;;00357DG   ; 191.805 ; 100 ; 16.900 ; 20 ; -   ; 50 ; -   ; 295 
00357DG   ;24/11/2012;22512_XFER;22512;I;2026;19280,8;17904,5;Vegas;;;;00357DG   ;19280,8;Vegas;;01284UW   ; -   ; 152.613 ; -   ; -   ; -   ; -   ; -   ; -   
01196ZZ   ;19/12/2012;22512_XFER;22512;I;151;17301;16956;Vegas;;;;01196ZZ   ;17301;Vegas;;01148BP   ; 7.030 ; 290.958 ; -   ; -   ; -   ; -   ; 500 ; -   
01284UW   ;21/10/2012;46;5;I;25;16850;3319,11;Sportsbook;;;;01284UW   ;16850;Sportsbook;;00497XG   ; -   ; -   ; 25.785 ; -   ; -   ; -   ; -   ; -   
00357DG   ;26/11/2012;22512_XFER;22512;I;1859;16078,5;12299,52;Vegas;;;;00357DG   ;16078,5;Vegas;;01152SJ   ; -   ; -   ; -   ; 43.494 ; 46.893 ; -   ; -   ; -   
00357DG   ;17/11/2012;22512_XFER;22512;I;1469;15204;14758,8;Vegas;;;;00357DG   ;15204;Vegas;;00C017    ; -   ; 200 ; -   ; -   ; 17.465 ; 2.143 ; -   ; -   
00357DG   ;30/11/2012;22512_XFER;22512;I;920;15000;10169,8;Vegas;;;;00357DG   ;15000;Vegas;;00J381    ; -   ; 36.855 ; -   ; -   ; -   ; -   ; 826 ; -   
01284UW   ;14/10/2012;46;5;I;25;13700;10781,59;Sportsbook;;;;01284UW   ;13700;Sportsbook;;00775SM   ; 118 ; 46 ; 141 ; 20 ; -   ; 993 ; -   ; -   
01284UW   ;16/10/2012;36;5;I;16;13655;20945,93;Sportsbook;;;;01284UW   ;13655;Sportsbook;;;;;;;;;;
01284UW   ;03/11/2012;46;5;I;87;13405,14;3500;Sportsbook;;;;01284UW   ;13405,14;Sportsbook;;;;;;;;;;
01284UW   ;10/10/2012;274;5;I;17;12370;0;Sportsbook;;;;01284UW   ;12370;Sportsbook;;;;;;;;;;
00357DG   ;15/11/2012;22512_XFER;22512;I;1152;12133;11300,9;Vegas;;;;00357DG   ;12133;Vegas;;;;;;;;;;
