AccountNo;BetDate;ClassId;CategoryId;Source;BetCount;Bet_Amt;Win_Amt;Product;;;;;;;;;;;;;;;;
01196ZZ   ;24/11/2012;22512_XFER;22512;I;189;29364;28947;Vegas;;;;;;;;;;;;;;;;
00357DG   ;27/11/2012;22512_XFER;22512;I;1415;19835;18639,15;Vegas;;;;;;;;;;;;;;;;
00357DG   ;24/11/2012;22512_XFER;22512;I;2026;19280,8;17904,5;Vegas;;;;;;;;;;;;;;;;
01196ZZ   ;19/12/2012;22512_XFER;22512;I;151;17301;16956;Vegas;;;;;;;;;;;;;;;;
01284UW   ;21/10/2012;46;5;I;25;16850;3319,11;Sportsbook;;;;;;;;;;;;;;;;
00357DG   ;26/11/2012;22512_XFER;22512;I;1859;16078,5;12299,52;Vegas;;;;;;;;;;;;;;;;
00357DG   ;17/11/2012;22512_XFER;22512;I;1469;15204;14758,8;Vegas;;;;;;;;;;;;;;;;
00357DG   ;30/11/2012;22512_XFER;22512;I;920;15000;10169,8;Vegas;;;;;;;;;;;;;;;;
01284UW   ;14/10/2012;46;5;I;25;13700;10781,59;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;16/10/2012;36;5;I;16;13655;20945,93;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;03/11/2012;46;5;I;87;13405,14;3500;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;10/10/2012;274;5;I;17;12370;0;Sportsbook;;;;;;;;;;;;;;;;
00357DG   ;15/11/2012;22512_XFER;22512;I;1152;12133;11300,9;Vegas;;;;;;;;;;;;;;;;
00357DG   ;28/11/2012;22512_XFER;22512;I;507;11614;8729,6;Vegas;;;;;;;;;;;;;;;;
00357DG   ;05/12/2012;22512_XFER;22512;I;557;11176;9751,6;Vegas;;;;;;;;;;;;;;;;
01196ZZ   ;15/12/2012;22512_XFER;22512;I;167;10896;10410;Vegas;;;;;;;;;;;;;;;;
01284UW   ;01/11/2012;46;5;I;34;10674,28;12210;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;28/11/2012;22512_XFER;22512;I;106;10011;8736;Vegas;;;;;;;;;;;;;;;;
01148BP   ;17/09/2012;2;9;I;30;9800;8200;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;17/11/2012;2;9;I;28;9252,5;15353,75;Sportsbook;;;;;;;;;;;;;;;;
00357DG   ;14/11/2012;22512_XFER;22512;I;1201;9154,2;7138,3;Vegas;;;;;;;;;;;;;;;;
01148BP   ;09/10/2012;2;9;I;33;9108,33;14245,83;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;08/12/2012;22512_XFER;22512;I;90;8815,5;8595;Vegas;;;;;;;;;;;;;;;;
00357DG   ;23/11/2012;22512_XFER;22512;I;998;8534;7082;Vegas;;;;;;;;;;;;;;;;
